A,B,C,D,E,F,G,H,I,J,target
338,5,0,15,0,3,1,7,3,0,1
30,1,0,16,0,0,0,0,0,0,0
794,0,0,10,1,0,0,0,0,0,0
467,4,0,22,3,1,2,10,0,0,1
101,1,0,3,2,3,1,0,0,0,0
159,2,3,950,74,14,4,11,9,0,1
99,0,0,6,4,0,0,1,0,0,1
42,0,0,42,2,4,0,3,0,0,0
1,0,0,21,0,0,0,0,0,0,0
16,0,0,6,1,0,0,0,0,0,0
43,3,0,88,14,2,0,5,1,0,1
43,1,0,12,0,0,0,0,0,0,0
119,1,0,52,1,0,0,0,0,0,0
148,1,0,1,0,0,0,2,0,0,0
12,0,0,29,2,0,0,0,0,0,0
81,0,0,34,4,0,0,0,0,0,0
35,0,0,6,13,0,0,4,0,0,0
36,0,0,7,0,0,0,0,0,0,0
0,0,0,106,1,0,0,0,0,0,0
58,1,0,17,2,0,0,7,0,0,1
73,0,0,3,1,0,0,2,0,0,1
14,0,0,12,0,0,0,0,0,0,0
34,0,0,11,0,0,0,1,0,0,0
4,0,0,15,0,0,0,0,0,0,0
67,8,0,390,23,0,1,5,2,0,0
21,0,0,10,0,0,0,1,0,0,0
22,0,0,9,1,0,0,0,0,0,0
46,1,0,15,5,3,0,11,0,0,1
18,0,0,11,0,0,0,0,0,0,0
29,1,0,22,2,0,0,1,0,0,1
23,0,0,9,0,0,0,0,0,0,0
72,1,0,11,0,0,0,0,0,0,0
187,1,0,69,19,5,1,8,0,0,1
62,2,0,10,1,0,0,0,0,0,0
13,0,0,7,0,1,0,0,0,0,1
2,0,0,6,4,0,0,0,0,0,0
25,0,0,228,0,0,0,0,0,0,0
86,0,0,11,1,0,0,0,0,0,0
205,7,0,286,55,12,6,38,6,0,1
46,0,0,8,2,0,0,2,0,0,1
305,3,0,24,0,0,0,2,0,0,0
50,0,0,12,0,0,0,0,0,0,0
9,0,0,251,7,0,0,3,0,0,0
29,0,0,69,3,0,0,0,0,0,0
58,0,0,9,2,0,1,0,0,0,0
4,0,0,19,2,0,0,0,0,0,1
17,0,0,9,1,0,0,0,0,0,0
18,1,0,27,4,0,0,0,0,0,1
44,0,0,7,0,1,0,0,0,0,0
27,0,0,11,0,0,4,1,0,0,0
0,0,0,20,3,0,0,0,0,0,0
113,0,0,2,2,0,0,3,0,0,1
44,0,0,10,1,0,0,0,0,0,0
31,0,0,15,2,0,0,0,0,0,0
182,0,0,33,1,0,0,0,0,0,0
38,0,0,25,3,0,0,0,0,0,0
54,0,0,37,1,2,0,1,0,0,1
90,0,0,10,0,0,0,0,0,0,0
40,0,0,11,2,0,0,1,0,0,0
42,1,0,15,0,0,0,0,0,0,0
35,0,0,17,0,0,0,0,0,0,0
45,1,0,10,2,0,0,0,0,0,0
24,1,0,8,1,0,0,1,0,0,0
40,1,0,23,3,0,0,2,0,0,0
4,0,0,27,0,0,0,0,0,0,0
40,2,0,3,0,10,0,0,0,0,0
2,0,0,22,0,0,0,0,0,0,0
59,0,0,22,1,0,2,4,0,0,1
3,0,0,12,0,0,0,1,0,0,0
238,0,0,18,0,3,0,1,0,0,0
15,0,0,11,2,0,0,0,0,0,0
49,0,0,12,2,0,0,0,0,0,0
88,0,0,12,0,0,0,0,0,0,0
384,0,0,4,0,0,2,6,0,0,1
23,0,0,13,0,0,0,0,0,0,0
4,0,0,18,2,0,1,11,0,0,1
90,0,0,47,119,20,1,4,0,1,1
41,0,0,12,3,1,0,0,0,0,0
13,0,0,8,2,0,0,0,0,0,0
1,0,0,18,7,0,0,1,0,0,1
34,1,0,141,33,4,7,3,0,0,0
1,0,0,12,0,0,0,0,0,0,0
8,0,0,17,5,1,0,0,0,0,0
102,3,0,75,8,2,0,1,0,0,1
0,0,0,18,0,0,0,0,0,0,0
28,0,0,14,0,0,0,0,0,0,0
10,0,0,11,0,0,0,0,0,0,0
45,0,0,109,41,1,0,0,0,0,1
215,0,0,50,2,1,0,0,0,0,1
17,1,0,15,0,0,0,0,0,0,0
94,0,0,8,2,0,0,0,0,0,1
13,0,0,11,0,0,0,0,0,0,0
132,0,1,29,0,0,0,0,0,0,0
2,1,0,29,4,0,0,0,0,0,0
39,0,0,181,4,1,0,6,1,0,1
61,0,0,17,17,0,0,0,0,0,0
4,0,0,12,0,1,0,0,0,0,0
12,0,0,15,0,0,0,0,0,0,0
0,0,0,13,1,0,0,1,0,0,0
52,0,0,25,0,0,0,0,0,0,0
5,0,0,13,0,0,0,0,0,0,0
104,0,0,33,0,0,0,0,0,0,0
7,0,0,17,0,0,0,0,0,0,0
28,0,0,24,0,0,0,0,0,0,0
0,0,0,15,0,0,0,0,0,0,0
16,0,0,6,0,0,0,0,0,0,0
61,0,0,8,1,1,0,1,0,0,1
7,0,0,12,4,0,0,0,0,0,0
19,1,0,23,0,0,0,1,0,0,0
11,0,0,26,1,0,1,1,0,0,1
11,0,0,9,4,0,0,0,0,0,0
38,0,0,28,0,0,0,0,0,0,1
0,0,0,14,1,0,0,0,0,0,0
17,0,0,9,0,0,0,1,0,0,0
30,0,0,11,0,0,0,0,0,0,1
13,0,0,25,0,0,0,0,0,0,0
3,0,0,18,3,0,0,1,0,0,1
337,4,0,164,2,1,1,6,0,0,0
327,1,1,1,0,0,1,11,0,0,0
38,0,0,16,0,0,0,0,0,0,0
105,0,0,0,0,0,13,1,0,0,0
16,0,0,73,10,0,0,2,0,0,1
3,0,0,9,2,0,0,0,0,0,0
0,0,0,14,1,1,0,1,1,0,1
157,2,0,27,2,0,0,0,0,0,0
26,0,0,19,1,1,0,0,0,0,0
11,0,0,4,2,0,0,1,0,0,0
16,0,0,19,1,0,0,1,0,0,0
28,0,0,22,3,1,0,0,0,0,1
58,0,0,21,2,3,2,6,0,0,1
80,0,0,69,2,1,0,0,0,0,0
9,0,0,23,0,0,0,0,0,0,0
57,1,0,119,2,2,0,2,1,0,1
16,0,0,8,1,0,0,0,0,0,0
29,0,0,27,5,0,0,0,0,0,0
2,0,0,13,1,0,0,1,0,0,0
10,0,0,8,3,0,0,0,0,0,0
31,0,0,7,0,0,0,0,0,0,0
17,0,0,12,2,0,0,0,0,0,0
28,2,0,8,1,0,0,0,0,0,0
68,0,0,24,1,0,0,0,0,0,0
53,0,0,11,1,0,0,0,0,0,1
14,0,0,17,1,0,0,0,0,0,1
9,0,0,8,0,0,0,1,0,0,1
341,0,0,17,0,0,0,0,0,0,0
64,0,0,14,0,0,0,0,0,0,0
2,0,0,8,10,0,0,0,0,0,0
103,2,0,7,1,0,0,0,0,0,0
36,1,0,30,0,0,0,3,0,0,1
1,0,0,36,2,0,0,0,0,0,0
18,0,0,15,0,0,0,0,0,0,0
36,0,0,8,4,1,0,0,0,0,0
24,0,0,25,1,0,0,0,0,0,0
6,0,0,290,2,0,0,0,0,0,0
16,0,0,4,0,0,0,1,0,0,1
6,0,0,15,5,0,1,0,0,0,1
3,0,0,26,0,0,0,0,0,0,0
22,0,0,12,0,0,0,0,0,0,0
25,0,0,34,0,0,0,0,0,0,0
63,1,0,1,2,0,0,0,0,0,1
10,0,0,1,0,0,0,0,0,0,0
21,0,0,13,0,0,0,0,0,0,0
45,2,0,7,0,0,0,0,0,0,0
32,0,0,42,0,0,0,1,0,0,0
2,0,0,15,0,0,0,0,0,0,0
43,1,0,27,0,0,0,0,0,0,0
21,0,0,13,2,0,0,0,0,0,0
67,0,0,0,0,0,0,3,0,0,0
26,0,0,14,0,1,0,1,0,0,1
17,0,0,14,1,0,0,0,0,0,0
75,0,0,20,0,0,0,0,0,0,0
17,0,0,12,0,0,0,0,0,0,1
2,0,0,11,0,0,0,0,0,0,0
82,0,0,158,3,0,0,3,0,0,1
46,0,0,0,0,0,0,1,0,0,0
3,0,0,11,0,0,0,0,0,0,0
195,5,1,43,2,0,2,8,0,1,1
68,0,0,18,0,0,2,0,0,0,0
13,0,0,10,0,0,0,0,0,0,1
38,0,0,14,0,0,0,0,0,0,0
3,0,0,11,0,0,0,0,0,0,0
7,0,0,9,0,0,0,0,0,0,0
1,0,0,28,0,0,0,0,0,0,0
12,0,0,11,0,0,0,0,0,0,1
38,0,0,20,0,0,0,0,0,0,0
0,0,0,21,0,0,0,0,0,0,0
6,0,0,10,0,0,0,0,0,0,0
11,0,0,1,1,6,0,0,0,0,0
32,2,0,11,1,0,0,0,0,0,1
35,1,0,14,0,1,0,0,0,0,0
55,0,0,35,0,1,2,10,1,0,1
30,0,0,8,1,3,0,0,0,0,0
22,0,0,11,0,0,0,0,0,0,0
161,0,0,19,0,0,0,0,0,0,0
33,1,0,7,1,0,0,0,0,0,0
43,0,0,9,0,0,0,0,0,0,0
12,0,0,22,1,0,0,1,0,0,0
16,0,0,11,0,0,0,0,0,0,0
17,0,0,7,1,0,0,0,0,0,0
185,1,0,55,0,0,0,2,0,0,1
0,0,0,31,8,0,0,0,0,0,0
39,0,0,33,2,0,0,6,0,0,1
22,0,0,0,0,0,0,0,0,1,0
24,1,0,11,0,0,0,0,0,0,0
1,0,0,10,0,0,0,0,0,0,0
23,0,0,18,1,0,0,1,0,0,1
5,0,1,19,0,0,0,0,0,0,0
1,0,0,7,0,0,0,0,0,0,0
15,0,0,11,0,0,0,0,0,0,0
20,0,0,5,0,1,0,0,0,0,0
0,0,0,14,0,0,0,0,0,0,0
34,0,0,14,1,0,0,0,0,0,1
18,0,0,26,1,0,0,1,0,0,0
33,0,0,8,1,0,0,0,0,0,1
5,0,0,13,0,0,0,0,0,0,0
5,1,0,7,0,0,0,0,0,0,0
41,0,0,8,144,0,0,0,0,0,0
15,0,0,1,0,0,0,1,0,0,1
8,0,0,13,0,0,0,0,0,0,0
19,0,0,17,0,0,0,0,0,0,0
39,0,0,13,0,0,0,0,0,0,0
32,1,0,12,1,0,0,0,0,0,0
130,0,0,7,0,0,0,2,0,0,0
37,0,0,39,8,0,0,1,0,0,0
32,0,0,18,5,0,0,0,0,0,1
0,0,0,12,1,0,0,0,0,0,0
20,0,0,23,0,1,0,0,0,0,0
2,0,0,25,1,0,0,0,0,0,0
18,0,0,8,4,0,0,3,0,0,1
122,0,0,16,1,0,0,3,0,0,1
18,0,0,7,0,0,0,0,0,0,1
2,0,0,31,0,0,0,0,0,0,0
21,0,0,13,1,0,0,2,0,0,1
18,0,0,8,0,0,0,0,0,0,0
45,0,0,10,0,0,0,0,0,0,0
84,1,0,1973,64,35,0,21,0,0,1
48,0,0,12,0,0,0,1,0,0,0
1,0,0,8,0,0,0,0,0,0,1
20,0,0,3,0,0,0,5,0,0,1
22,3,0,16,0,0,0,0,0,0,0
2,0,0,12,2,0,0,0,0,0,0
25,0,0,3,0,0,0,0,0,0,1
12,0,0,14,0,0,0,0,0,0,0
308,0,0,5,2,0,0,2,0,0,0
16,0,0,18,4,0,0,0,0,0,0
9,0,0,10,1,0,0,2,0,0,1
26,0,0,26,4,3,0,5,0,0,1
59,3,0,77,12,0,0,3,1,0,0
32,0,0,54,0,0,0,0,1,0,0
4,0,0,25,1,0,0,0,0,0,0
25,0,0,1,6,3,0,0,0,0,0
0,0,0,12,0,0,0,0,0,0,0
15,0,0,11,0,0,0,1,0,0,1
21,0,0,7,0,0,0,0,0,0,1
229,0,0,25,0,0,0,1,0,0,1
17,0,0,6,3,0,0,1,0,0,1
222,2,0,8,1,0,2,4,0,0,1
12,0,0,10,0,0,0,0,0,0,0
42,2,0,10,0,0,0,0,0,0,0
10,0,0,11,2,0,0,0,0,0,0
25,0,0,26,1,1,0,5,0,0,1
35,0,0,11,0,1,0,1,0,0,1
32,2,0,20,0,0,0,0,0,0,0
431,23,3,12,0,0,1,2,0,0,0
16,0,0,2,76,0,0,0,0,0,0
10,0,0,8,2,0,0,0,0,0,0
49,0,0,21,0,0,0,0,0,0,0
3,0,0,44,4,0,0,0,0,0,0
19,0,0,34,1,0,0,1,0,0,0
4,0,0,8,1,0,0,0,0,0,0
10,0,0,4,7,0,0,0,0,0,0
0,0,0,19,2,2,0,0,0,0,1
11,0,0,23,1,0,0,0,0,0,0
19,1,0,20,2,0,0,0,0,0,0
7,0,0,10,0,0,0,0,0,0,0
2,0,0,67,38,0,0,2,0,0,0
36,0,0,10,0,0,0,0,0,0,0
8,0,0,23,1,0,0,0,0,0,0
12,0,0,7,1,0,0,0,0,0,0
40,0,0,132,26,0,0,0,0,0,1
8,0,0,8,0,0,0,0,0,0,0
14,1,0,0,0,0,0,1,0,0,1
280,1,0,29,5,0,1,1,0,0,0
66,3,0,27,2,0,0,0,0,0,0
9,0,0,16,1,0,0,1,0,0,1
44,0,0,29,4,0,0,0,0,0,0
23,1,0,2,0,0,0,0,0,0,1
0,0,0,28,3,0,0,0,0,0,0
22,0,0,16,1,1,0,1,0,0,1
33,3,0,10,4,1,0,0,0,0,0
9,0,0,75,2,1,0,0,0,0,0
33,0,0,60,30,0,0,0,0,0,0
2,0,0,226,15,0,0,0,0,0,1
35,0,0,9,0,0,0,0,0,0,0
11,0,0,11,0,0,0,0,0,0,0
33,1,0,9,2,1,0,0,0,0,0
7,0,0,12,1,0,0,0,0,0,0
14,0,0,20,4,0,0,0,0,0,0
153,0,1,12,0,0,0,0,0,0,1
0,0,0,7,2,2,0,0,0,0,0
12,0,0,58,1,0,0,0,0,0,1
16,0,0,13,1,0,0,0,0,0,0
16,0,0,7,1,0,0,0,0,0,1
42,0,0,8,0,0,0,0,0,0,0
20,0,0,10,0,0,0,1,0,0,0
9,0,0,0,0,0,0,0,0,1,0
10,0,0,0,0,0,0,0,0,1,0
11,0,0,15,1,0,0,0,0,0,0
13,0,0,17,4,0,0,0,0,0,0
16,0,0,10,4,1,0,0,0,0,0
205,1,0,23,1,0,1,2,0,0,1
312,6,0,20,0,0,0,0,0,0,1
18,0,0,15,1,1,0,0,0,0,0
35,1,0,26,0,0,0,0,0,0,0
14,0,0,13,11,0,0,0,0,0,1
89,0,0,10,2,1,1,3,0,0,1
4,0,0,64,0,0,0,0,0,0,1
352,8,0,51,0,1,1,0,0,0,0
13,0,0,15,0,0,0,0,0,0,0
1,1,0,94,2,1,0,1,0,0,0
4,0,0,13,0,0,0,0,0,0,0
1,0,0,11,0,0,0,0,0,0,0
37,0,0,33,0,0,0,0,0,0,0
11,1,0,12,0,0,0,0,0,0,0
14,0,0,29,4,1,1,3,0,0,1
50,0,0,106,2,2,0,3,0,0,1
0,0,0,14,0,0,0,0,0,0,0
21,0,0,42,1,1,0,0,0,0,0
7,0,0,9,3,0,0,0,0,0,0
1,0,0,9,1,0,0,1,1,0,1
0,0,0,13,6,0,0,0,0,0,0
13,0,0,27,1,0,0,1,0,0,1
56,0,0,19,6,42,4,7,0,0,1
66,0,0,5,0,0,0,0,0,0,0
30,1,0,14,3,0,0,2,0,0,1
4,0,0,9,3,0,0,0,0,0,0
27,0,0,12,2,0,0,0,0,0,0
4,0,0,14,1,0,2,0,0,0,0
0,0,0,30,1,0,0,0,0,0,0
3,0,0,13,0,0,0,0,0,0,0
1,0,0,9,1,0,0,0,0,0,0
4,0,0,18,0,0,0,0,0,0,0
0,0,0,6,3,0,0,0,0,0,0
37,0,0,23,0,0,0,0,0,0,0
18,0,0,7,0,0,0,0,0,0,1
1,0,0,10,0,0,0,0,0,0,0
12,0,0,12,0,0,0,0,0,0,0
21,0,0,11,2,0,0,0,0,0,0
69,0,0,29,0,0,0,0,0,0,0
0,0,0,125,138,2,0,1,0,0,0
22,0,0,15,2,0,0,0,0,0,1
10,0,0,196,0,0,0,0,0,0,0
14,0,0,12,3,0,0,0,0,0,0
0,0,0,11,2,1,0,0,0,0,0
2,0,0,12,1,0,0,0,0,0,1
38,0,0,29,0,0,0,0,0,0,0
12,0,0,22,1,0,0,0,0,0,1
14,0,0,14,1,0,0,1,0,0,0
13,0,0,4,1,0,0,0,0,0,1
0,0,0,14,0,0,0,0,0,0,0
12,1,0,1,1,0,0,2,0,0,1
4,0,0,8,0,0,0,0,0,0,0
48,0,0,1,0,0,0,5,0,0,1
17,0,0,16,1,1,0,1,0,0,0
0,0,0,28,6,3,0,0,0,0,0
7,0,0,22,1,0,0,0,0,0,1
1,0,0,56,1,1,0,1,0,0,1
43,0,0,8,2,0,0,0,4,0,0
4,0,0,11,0,0,0,0,0,0,0
9,0,0,14,1,0,0,0,0,0,0
16,0,0,14,12,0,0,2,0,0,0
70,1,0,36,6,0,0,7,0,0,1
2,0,0,520,26,23,0,0,0,0,0
29,0,0,46,1,0,0,0,0,0,0
100,0,0,8,1,0,0,1,0,0,0
8,0,0,8,1,0,0,0,0,0,0
52,0,0,6,0,0,0,0,0,0,0
107,0,0,382,14,2,0,12,3,0,0
20,0,0,10,1,0,0,0,0,0,0
9,0,0,18,0,0,0,0,0,0,0
0,0,0,6,8,0,0,0,0,0,0
2,0,0,8,4,0,0,0,0,0,0
19,0,0,13,1,0,0,0,0,0,0
5,0,0,19,1,0,0,0,0,0,0
7,0,0,24,13,0,0,0,0,0,0
10,0,0,27,0,0,0,0,0,0,0
217,2,0,321,19,8,2,8,4,0,1
0,0,0,10,0,0,0,1,0,0,0
10,0,0,8,0,0,0,0,0,0,0
77,2,0,32,2,0,0,2,0,0,1
55,0,0,18,1,1,1,0,0,0,0
155,2,0,0,0,0,1,6,0,0,1
6,0,0,15,0,0,0,0,0,0,0
5,0,0,51,4,0,0,0,0,0,0
73,0,0,28,1,0,0,0,0,0,0
16,0,0,9,0,0,0,0,0,0,0
24,0,0,16,3,0,0,0,0,0,0
6,0,0,11,3,0,0,0,0,0,0
0,0,0,26,3,2,0,0,0,0,0
11,0,0,30,1,0,0,0,0,0,0
8,0,0,8,0,0,0,0,0,0,0
3,0,0,13,2,2,0,0,0,0,0
3,0,0,17,1,0,0,1,0,0,0
7,0,0,7,2,0,0,0,0,0,0
1,0,0,12,0,0,0,0,0,0,0
2,0,0,18,0,0,0,0,0,0,0
3,0,0,20,0,0,0,3,0,0,0
4,0,0,10,0,0,0,0,0,0,0
5,7,0,14,0,0,0,0,0,0,0
2,0,0,46,20,0,0,0,0,0,0
2,0,0,27,1,0,0,0,0,0,1
2,0,0,8,0,0,0,0,0,0,0
18,1,0,12,0,0,0,1,0,0,0
8,0,0,12,4,1,1,6,0,0,1
13,0,0,89,2,0,0,0,0,0,1
4,0,0,31,5,0,0,0,0,0,0
2,0,0,10,1,1,0,0,0,0,0
41,0,0,9,1,0,0,0,0,0,0
2,0,0,5,4,0,0,1,0,0,1
15,0,0,7,1,1,0,0,0,0,0
43,1,0,18,1,0,0,0,0,0,0
9,0,0,31,7,0,0,1,0,0,1
22,1,0,12,1,0,0,0,0,0,0
7,0,0,11,1,0,0,0,0,0,0
11,0,0,22,0,0,0,1,2,0,0
16,0,0,13,1,0,0,0,0,0,0
47,0,0,88,1,2,0,0,0,0,0
1,0,0,34,2,1,0,0,0,0,0
8,0,0,6,2,0,1,0,0,0,1
11,0,0,6,1,0,0,0,0,0,0
27,1,0,531,10,11,0,9,3,0,1
0,0,0,94,6,1,0,1,0,0,1
25,0,0,54,1,1,0,4,1,0,1
20,0,0,1233,49,103,1,3,20,0,1
7,0,0,85,8,0,0,11,0,0,1
14,1,0,8,0,0,0,1,0,0,0
62,0,0,41,1,0,2,3,0,0,1
4,0,0,23,0,0,0,0,0,0,0
15,0,0,34,0,0,0,1,0,0,1
46,1,0,12,0,0,0,4,0,0,0
3,0,0,16,0,0,0,0,0,0,0
5,0,0,10,2,0,0,0,0,0,0
1,0,0,38,0,0,0,0,0,0,0
20,0,0,9,2,0,0,0,0,0,0
2,0,0,6,3,0,0,0,0,0,0
1,0,0,6,0,0,0,0,0,0,0
20,1,0,15,0,0,0,0,0,0,0
2,0,0,12,1,1,0,0,0,0,1
0,0,0,17,3,0,0,0,0,0,0
59,0,0,10,0,0,0,0,0,0,0
13,0,0,23,0,0,0,0,0,0,0
0,0,0,17,0,0,0,1,0,0,0
5,0,0,9,0,0,0,0,0,0,0
9,0,0,12,0,0,0,0,0,0,0
0,0,0,50,0,0,0,0,0,0,1
1,0,0,13,0,0,0,0,0,0,0
18,0,0,8,0,0,0,0,0,0,0
5,0,0,6,2,0,0,0,0,0,0
30,1,0,59,2,0,0,0,0,0,0
0,0,0,71,2,1,0,1,0,0,0
0,0,0,177,3,10,0,3,0,0,1
55,15,0,8,1,0,0,0,0,0,1
0,0,0,1,0,1,0,5,0,0,1
14,0,0,42,2,0,0,0,0,0,0
7,0,0,31,12,0,0,0,0,0,0
3,0,0,11,0,0,0,1,0,0,0
18,0,0,20,5,0,0,0,0,0,1
24,0,0,21,1,0,0,1,0,0,1
0,0,0,7,0,6,0,0,0,0,1
17,0,0,10,2,0,0,0,0,0,0
24,0,0,32,2,0,0,0,0,0,0
11,0,0,17,0,0,0,0,1,0,0
6,0,0,9,1,0,0,1,0,0,0
0,0,0,18,1,0,0,0,1,0,0
7,0,0,26,1,0,0,2,0,0,1
241,2,1,8,0,1,0,1,0,0,1
18,0,0,51,0,0,0,2,0,0,0
14,0,0,11,0,0,0,0,0,0,0
73,2,0,1,0,0,5,4,0,0,1
1,0,0,82,2,0,0,0,0,0,0
8,0,0,17,2,0,0,0,0,0,0
7,0,0,12,2,0,0,0,0,0,0
0,0,0,8,2,0,0,1,0,0,0
0,0,0,11,0,0,0,0,0,0,0
17,0,0,627,10,24,0,5,7,0,1
